term,1550-1600,1650-1700,1700-1750,1750-1800,1800-1850
ra,True,False,False,False,True
întări,True,False,True,False,False
multă,True,False,True,False,False
partea,True,False,True,False,False
fură,True,False,True,False,True
luat,True,False,True,False,False
da,True,False,True,False,True
omenie,False,False,True,False,True
aduna,False,False,True,False,True
osteneală,False,False,False,True,True
lor,True,False,True,True,True
întîiu,False,False,True,True,True
nainte,True,False,True,False,False
scripturile,True,False,True,False,False
întăi,True,False,False,False,True
cade,True,False,True,False,False
știia,True,False,True,False,False
numele,True,False,True,False,False
învăță,True,False,True,False,False
sămînța,True,False,True,False,False
ceară,False,False,True,False,True
veșmintele,True,False,True,False,False
rău,True,False,True,False,False
oamenii,True,False,True,False,False
aducem,True,False,True,False,False
luo,True,False,True,False,False
mulțime,False,False,True,True,False
dea,True,False,True,False,False
morți,True,False,True,False,False
preste,False,False,True,True,True
sus,True,False,True,False,True
muncă,True,False,True,False,True
învață,True,False,True,False,False
sfinte,False,False,True,False,True
oameni,True,False,True,False,False
izvor,False,False,True,False,True
eși,True,False,True,False,False
mintea,True,False,True,True,True
dau,True,False,False,False,True
putearnic,True,False,True,False,False
robii,False,False,True,False,True
păzită,False,False,True,False,True
zile,True,False,True,False,False
post,True,False,True,False,False
glas,True,False,True,False,True
împărățiia,True,False,True,False,False
destoinicie,True,False,True,False,False
trebuiaște,True,False,True,False,False
osîndiți,True,False,True,False,False
să,True,False,True,True,True
propoveduiască,True,False,True,False,False
seareca,True,False,True,False,False
po,True,False,True,False,False
cîtu,True,False,True,False,False
măcar,False,False,False,True,True
cale,False,False,True,False,True
venit,True,False,True,False,True
crăiasca,False,False,False,True,True
părinți,True,False,True,False,False
închina,True,False,True,False,False
înapoi,False,False,True,False,True
acela,True,False,True,True,False
zice,True,False,True,True,True
doa,True,False,True,False,False
sufletul,True,False,True,True,True
iaste,True,False,True,True,False
oare,True,False,True,False,True
ruga,True,False,True,False,False
măsura,False,False,True,False,True
găsită,False,False,True,False,True
vă,True,False,True,False,True
mijloc,True,False,True,False,False
toți,True,False,True,True,False
leage,True,False,True,False,False
petru,False,False,True,False,True
veaste,False,False,True,True,False
limbă,False,False,True,False,True
lapte,True,False,True,False,False
cunoscu,True,False,True,False,False
ma,True,False,True,False,False
una,False,False,True,True,False
deșchise,True,False,True,False,False
aceea,False,False,True,False,True
nime,True,False,True,False,False
ceale,False,False,True,True,False
caute,False,False,True,False,True
față,False,False,True,False,True
ne,True,False,True,True,True
cuvintele,True,False,True,True,False
învise,True,False,True,False,False
cred,True,False,False,True,False
dintru,False,False,True,False,True
încă,True,False,True,True,True
învis,True,False,True,False,False
mainte,True,False,True,False,False
prin,False,False,True,True,True
ei,True,False,True,True,True
fricos,False,False,True,False,True
adecă,True,False,True,False,True
ai,True,False,True,True,True
feliu,False,False,False,True,True
voia,True,False,True,False,False
frică,False,False,True,False,True
lii,True,False,False,True,False
faptele,False,False,True,False,True
l_au,True,False,True,False,True
taină,False,False,True,False,True
nii,True,False,False,False,True
facă,True,False,True,True,True
car,True,False,True,False,False
ceaia,True,False,True,False,False
che,False,False,True,True,False
iubitoriu,False,False,True,True,False
voi,True,False,True,True,True
si,True,False,True,False,False
şi,False,False,True,False,True
fii,True,False,True,False,False
unde,True,False,True,True,True
cînta,False,False,True,False,True
frumos,False,False,True,False,True
tatăl,True,False,True,False,True
purtat,True,False,True,False,False
curăție,True,False,True,False,False
deșertă,True,False,True,False,False
grăiră,True,False,True,False,False
întra,True,False,False,True,False
mîndru,True,False,True,False,False
stau,True,False,False,True,True
iată,True,False,True,False,True
sunt,False,False,True,True,True
un,True,False,True,True,True
vuțiia,True,False,False,True,False
urma,False,False,True,False,True
cumu,True,False,True,False,False
veșminte,True,False,True,False,False
ranele,True,False,True,False,False
acoperemîntul,False,False,True,True,False
ertăciune,True,False,False,False,True
vorbi,False,False,False,True,True
iubire,True,False,True,True,False
carea,True,False,True,False,True
judeca,True,False,True,True,False
are,True,False,True,True,True
marele,False,False,True,False,True
pămîntului,True,False,True,False,False
dia,True,False,True,False,False
toată,True,False,True,True,True
îi,False,False,True,False,True
m_am,True,False,False,False,True
încredința,False,False,False,True,True
rog,True,False,False,True,False
vieției,True,False,True,False,False
pe,True,False,True,False,True
așijderea,True,False,False,True,False
dătătoriul,True,False,True,False,False
cătră,True,False,True,True,True
ave,False,False,True,False,True
păcatul,True,False,True,False,False
maicei,False,False,True,False,True
pietrile,True,False,True,False,False
răul,True,False,False,False,True
lucrul,True,False,True,False,False
deaca,True,False,True,False,False
apă,True,False,True,False,False
degrabă,False,False,True,True,False
s_au,False,False,True,True,True
sub,False,False,True,True,False
suflet,True,False,True,True,True
cineva,True,False,True,True,False
fie,True,False,True,True,True
pot,True,False,False,True,True
rugăciune,False,False,True,False,True
omul,True,False,True,True,False
dară,True,False,True,True,True
afle,False,False,True,False,True
păcatelor,True,False,True,False,False
acesta,True,False,True,True,True
morției,True,False,True,False,False
mea,True,False,False,False,True
acel,True,False,True,True,True
rugăciuni,True,False,True,False,False
văzut,True,False,True,False,True
limbi,True,False,True,False,True
duh,False,False,True,False,True
legiei,True,False,True,False,False
arme,False,False,False,True,True
mîndriia,True,False,True,False,False
viiu,True,False,True,False,False
derept,True,False,True,False,False
tăi,True,False,True,False,False
muiare,True,False,True,False,False
de,True,False,True,True,True
omului,True,False,True,True,False
raiului,True,False,True,True,False
trecu,True,False,True,False,False
